[INFO] [launch]: All log files can be found below /home/seeed/.ros/log/2026-07-02-12-46-40-468143-seeed-13174
[INFO] [launch]: Default logging verbosity is set to INFO
[pcd_ndt_localizer-1] [WARN] [1782967728.029774310] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.8278 points=2308
[pcd_ndt_localizer-1] [WARN] [1782967729.124439043] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.7995 points=2371
[pcd_ndt_localizer-1] [WARN] [1782967730.225409163] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.8191 points=2340
[pcd_ndt_localizer-1] [WARN] [1782967731.232825096] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.7829 points=2409
[pcd_ndt_localizer-1] [WARN] [1782967732.329119641] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.8575 points=2303
[pcd_ndt_localizer-1] [WARN] [1782967733.422796854] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.8022 points=2345
[pcd_ndt_localizer-1] [WARN] [1782967734.522429715] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.8301 points=2346
[pcd_ndt_localizer-1] [WARN] [1782967735.621099472] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.8318 points=2305
[pcd_ndt_localizer-1] [WARN] [1782967736.721308672] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.8407 points=2334
[pcd_ndt_localizer-1] [WARN] [1782967737.721743708] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.8010 points=2287
[pcd_ndt_localizer-1] [WARN] [1782967738.820609760] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.7784 points=2277
[pcd_ndt_localizer-1] [WARN] [1782967739.923416323] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.8314 points=2362
[pcd_ndt_localizer-1] [WARN] [1782967741.006445800] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.7626 points=2290
[pcd_ndt_localizer-1] [WARN] [1782967742.111397489] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.8041 points=2371
[pcd_ndt_localizer-1] [WARN] [1782967743.115476546] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.8106 points=2327
[pcd_ndt_localizer-1] [WARN] [1782967744.221485229] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.8193 points=2325
[pcd_ndt_localizer-1] [WARN] [1782967745.306252074] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.8288 points=2361
[pcd_ndt_localizer-1] [WARN] [1782967746.321317470] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.8470 points=2357
[pcd_ndt_localizer-1] [WARN] [1782967747.420520205] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.8041 points=2315
[pcd_ndt_localizer-1] [WARN] [1782967748.511096774] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.8647 points=2329
[pcd_ndt_localizer-1] [WARN] [1782967749.600385013] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.7903 points=2374
